Samples,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Prec_Mean,Prec_Std,Recall_Mean,Recall_Std
5,0.637251356238698,0.06360269480952627,0.6090190787660207,0.06890278332512705,0.6498105755464365,0.08060665092578291,0.6372513562386981,0.06360269480952623
6,0.6888143582306019,0.02247183263165063,0.6675082720736941,0.02938435507486486,0.7209559319499964,0.029621587914553937,0.6888143582306019,0.02247183263165059
7,0.6957015630679753,0.04281387878286553,0.6792671991783233,0.04378515268121626,0.7134946653643363,0.0480450809018435,0.6957015630679754,0.04281387878286554
8,0.6890943877551021,0.03849862812958559,0.6628603028910144,0.044198407304979606,0.7366209270168975,0.040698358180614756,0.689094387755102,0.038498628129585544
9,0.7250639386189258,0.047427297339393375,0.7063563659536991,0.05342862180013658,0.7557001407217115,0.04473135684009631,0.7250639386189258,0.047427297339393326
10,0.774496336996337,0.03624335160777219,0.7692291844182053,0.03610664071590977,0.8042601801036375,0.027803785429547548,0.7744963369963369,0.03624335160777218
11,0.8042141020932795,0.029061722530004025,0.7957248705627401,0.03161025626313982,0.8234478249728059,0.02871713583612165,0.8042141020932796,0.029061722530003994
12,0.8211064064801178,0.02100727419769807,0.8143296754241203,0.026564519755927857,0.838319090261854,0.021679252252570697,0.8211064064801178,0.021007274197698045
13,0.8196751568844592,0.029380846524295172,0.8149440477371344,0.030522588075397653,0.838999371207156,0.02694032955573353,0.8196751568844591,0.029380846524295186
14,0.8450222057735011,0.03454147444874377,0.8395637548616018,0.03778490711348058,0.8599593010190278,0.03733390267121456,0.8450222057735011,0.03454147444874381
15,0.8614100185528757,0.04099681799831419,0.8582540958743627,0.04325855395695553,0.8722922060483864,0.03322653858487419,0.8614100185528757,0.04099681799831419
16,0.8466331845238095,0.019818562426284176,0.8445572999757054,0.020974916251644268,0.854496830127087,0.021063594212399728,0.8466331845238095,0.019818562426284193
17,0.887029093621783,0.032764942411443586,0.8847043315838733,0.0339616620454183,0.8955349837119363,0.033440476876180014,0.8870290936217828,0.03276494241144356
18,0.8702318623784592,0.030773225648846415,0.8678320183649233,0.031313263794063566,0.8803462807693083,0.026559557555950842,0.8702318623784592,0.03077322564884643
19,0.9086989126359205,0.01941446339107554,0.9074762725045294,0.02000263823075288,0.9177104029670617,0.01592934777893033,0.9086989126359204,0.019414463391075564
20,0.8851033834586466,0.031090099132853828,0.8836866893465698,0.030612522707910417,0.8952356795862314,0.030076053103057634,0.8851033834586466,0.03109009913285381
21,0.8831040331699962,0.021160646974300912,0.8821595542370071,0.021716697392531473,0.893153265538893,0.020234137535272475,0.8831040331699962,0.02116064697430086
22,0.8861016628873772,0.02412384272847986,0.8853025364046624,0.024351095105431025,0.8955916447375977,0.023305577070689816,0.8861016628873772,0.024123842728479845
23,0.9086301629405077,0.019477625253377828,0.9082721207084,0.020143726749935156,0.9139358002018912,0.020866993773575135,0.9086301629405078,0.019477625253377834
24,0.9389247720364742,0.014564301958022866,0.9386947167600321,0.014695127879123667,0.9404611219619919,0.014535636721551446,0.9389247720364742,0.01456430195802289
25,0.9454285714285714,0.021767478706816275,0.9451757578680736,0.02209128804435916,0.9493637274284394,0.019053333622954728,0.9454285714285715,0.021767478706816303
26,0.9238922841864019,0.01931480883145069,0.9236887436287133,0.019543889562902934,0.9305479740013634,0.01716612820373988,0.9238922841864019,0.019314808831450675
27,0.93355036384527,0.013850182388734965,0.9334398974741446,0.013949406608057024,0.937514263373314,0.01213309130999371,0.93355036384527,0.013850182388734979
28,0.9475806451612903,0.01439580042068095,0.947508933567077,0.014342940927617424,0.9513677753861913,0.012380803672561627,0.9475806451612903,0.014395800420680956
29,0.9373315363881402,0.02221509902914273,0.9367455573324455,0.02277285944633834,0.9416692642471524,0.018566696182449664,0.9373315363881402,0.02221509902914277
30,0.9387065637065637,0.025585342005837473,0.9383491336403658,0.02572716182268888,0.9413924991758729,0.024101865763230222,0.9387065637065637,0.025585342005837428
